time,total_equity,total_pnl,BTCUSDT_price,ETHUSDT_price,BTCUSDT_signal,ETHUSDT_signal
2026-07-23T21:11:25+00:00,24.99,-0.01,65080.01,1883.44,FLAT,LONG
2026-07-23T21:12:54+00:00,24.98,-0.02,65046.84,1882.64,FLAT,LONG
2026-07-23T21:44:37+00:00,24.98,-0.02,65082.0,1881.65,FLAT,LONG
2026-07-23T22:41:02+00:00,24.98,-0.02,65181.97,1881.91,FLAT,LONG
2026-07-23T23:41:40+00:00,24.98,-0.02,65185.39,1882.16,FLAT,LONG
2026-07-24T01:11:59+00:00,24.92,-0.08,65046.41,1873.85,FLAT,LONG
2026-07-24T04:34:59+00:00,24.96,-0.04,65379.99,1879.62,FLAT,LONG
2026-07-24T07:19:25+00:00,25.12,0.12,65728.0,1903.29,FLAT,LONG
2026-07-24T09:56:47+00:00,25.02,0.02,65121.05,1888.02,FLAT,LONG
2026-07-24T11:48:35+00:00,24.95,-0.05,64863.42,1877.08,FLAT,LONG
2026-07-24T13:51:07+00:00,24.82,-0.18,64186.28,1858.38,FLAT,LONG
2026-07-24T15:26:53+00:00,24.86,-0.14,64119.99,1864.09,FLAT,LONG
2026-07-24T17:07:57+00:00,24.81,-0.19,63950.6,1856.1,FLAT,LONG
2026-07-24T18:46:38+00:00,24.84,-0.16,64182.25,1861.49,FLAT,LONG
2026-07-24T20:22:45+00:00,24.86,-0.14,64233.82,1864.46,FLAT,LONG
2026-07-24T21:38:10+00:00,24.84,-0.16,64178.98,1860.53,FLAT,LONG
2026-07-24T22:43:03+00:00,24.84,-0.16,64215.98,1861.66,FLAT,LONG
